Id station: 137, location: East demo station
45.444092  102.0
01/01/2021 -> 31/12/2022
T_max   T_min   P_tot   U_max   U_min   V_med   RG_CORR
    2.800    0.300    9.400   99.000   99.000    1.099    2.446
    3.800    1.300   15.800   99.000   99.000    1.085    2.227
    8.000    1.600    6.000  100.000   94.200    0.942    4.201
    6.800    4.300    5.600   99.000   99.000    1.204    3.624
    6.900    3.000    8.400   99.000   93.500    1.129    2.243
    6.000    2.400    1.400   99.000   92.200    0.972    3.418
    7.800    1.900    0.000   99.000   79.800    0.890    3.995
    7.100   -2.900    0.000  100.000   66.800    0.726    8.394
    5.000   -2.500    0.000   99.000   72.300    0.995    5.101
    4.900   -3.400    0.000   99.000   65.500    0.913    4.375
    5.400   -5.600    0.000   99.300   61.500    0.838    8.522
    5.400   -5.300    0.000   99.200   65.700    1.047    7.156
   12.000   -3.100    0.000   99.000   58.300    1.459    8.952
    8.100   -3.400    0.000   99.000   66.500    1.675    8.489
    6.800   -2.300    0.000   99.000   59.200    0.950    3.646
    7.400   -4.300    0.000   99.000   51.700    1.047    9.356
    3.900   -2.700    0.000   99.000   85.800    0.890    5.750
    0.300   -5.200    0.000   99.000   99.000    0.883    4.882
    1.200   -3.800    0.000   99.000   99.000    0.845    3.067
    2.700    1.000    2.400   99.000   99.000    0.920    2.319
    3.900    2.400    0.600   99.000   99.000    0.561    1.699
    4.900    3.200   22.000   99.200   99.000    1.010    1.592
   10.300    0.800   11.600   99.200   83.000    1.832    5.953
   10.000   -0.900    0.000  100.000   36.300    1.406    7.238
    7.900   -1.800    0.000   95.500   51.500    1.758    8.114
   10.100   -0.900    0.000   70.200   27.700    2.580   10.395
    8.700   -5.200    0.000   97.000   35.000    0.845    6.631
    8.400   -1.700    0.000   99.000   68.500    0.920    7.433
    6.400   -1.500    0.000   99.000   72.200    1.152    5.057
    9.700    2.100    3.200   98.800   66.700    1.601    5.961
   13.000    2.900    5.600   99.000   72.700    1.384    7.573
    9.000    1.800    0.000   99.000   73.000    1.062    5.735
    6.000   -0.500    0.000   99.000   99.000    0.711    4.826
    6.600    4.600    4.800   99.000   99.000    0.748    1.998
   10.000    5.900    0.800   99.000   96.000    1.077    3.562
   10.900    7.400    0.000   99.000   95.200    0.568    3.496
   11.000    8.100    0.000   99.000   96.000    0.808    2.516
    9.100    7.300   24.800   99.000   99.000    1.279    2.293
   13.800    4.000    0.200   99.300   40.700    1.571   10.311
   11.700    7.000    1.400   99.000   82.700    0.980    5.971
    8.600    3.700   14.800   99.000   98.300    1.765    3.551
   14.400    0.100    0.000   99.300   58.700    1.309   10.918
    5.700    0.000    0.000   86.200   53.200    2.401    3.588
    2.700   -3.000    0.000   88.800   41.500    1.511    9.289
    6.700   -5.900    0.000   95.000   38.700    1.369   13.711
    8.700   -5.800    0.000   98.700   38.800    0.957   12.600
   11.800   -3.100    0.000   97.000   58.300    1.167    9.650
   14.000    3.900    0.000   99.000   65.700    1.227   10.063
   11.300    5.000    0.600   99.000   61.700    1.189    6.376
   11.700    7.100    0.000   99.000   90.300    0.927    4.500
   12.600    7.700    0.000   99.000   89.200    0.733    5.281
   14.400    5.700    0.000   99.000   77.800    1.174    9.165
   13.100    2.800    0.000   99.000   88.800    0.860    9.718
   18.000    2.000    0.000   99.000   53.200    0.553   11.562
   21.100    1.100    0.000   99.000   39.800    0.838   14.019
   21.400    2.000    0.000   99.000   39.300    0.815   14.408
   20.900    2.500    0.000   99.000   42.300    0.972   14.473
   19.600    4.000    0.000   95.200   43.200    1.473   13.971
   14.400    2.200    0.000   91.300   39.800    1.571   15.488
   17.300   -0.300    0.000   97.500   32.200    1.085   16.098
   17.300   -0.600    0.000   97.000   34.800    1.032   15.735
   15.300    2.000    0.000   95.700   48.200    0.987   10.321
   15.300   -0.100    0.000   99.000   56.000    1.257   11.695
   17.600    5.800    0.000   93.300   41.300    1.159   14.831
   10.200    3.000    0.000   91.700   54.000    2.319    7.426
   13.200   -1.900    0.000   95.000   42.500    0.972   16.512
   13.900   -1.500    0.000   96.000   46.500    1.249   15.626
   15.000   -0.500    0.000   96.000   40.200    1.369   14.467
   15.700    0.800    0.000   95.700   34.700    1.099   16.732
   12.100    1.200    0.000   91.300   56.200    1.055    5.990
   17.500    4.000    0.000   96.800   53.000    1.055   14.748
   17.500    0.700    0.000   98.700   38.200    1.227   16.432
   16.500    1.200    0.000   96.000   13.800    3.156   17.103
   17.400   -1.900    0.000   97.000   23.800    2.992   19.034
   17.200    7.000    0.000   34.000   12.200    4.271   19.942
   17.200    2.600    0.000   55.300   15.000    2.191   19.322
   12.500   -0.200    3.200   92.000   39.000    1.645   15.953
   11.300    0.600    0.000   91.800   40.300    1.713   16.876
   13.100   -2.500    0.000   97.000   23.500    1.286   18.967
   11.800   -3.300    0.000   88.700   26.200    1.025   18.885
   17.100   -3.500    0.000   90.800   21.000    1.242   19.236
   15.700    0.800    0.000   81.500   30.300    1.728   20.147
   18.900    0.000    0.000   88.200   32.300    1.085   20.064
   20.000    1.400    0.000   91.700   32.800    1.182   19.343
   20.200    2.500    0.000   95.000   36.800    1.144   18.235
   17.200    6.600    0.000   91.300   56.700    1.025    9.624
   21.000    5.400    0.000   93.300   39.800    1.085   17.362
   23.700    3.900    0.000   93.800   33.500    0.980   20.156
   25.200    6.900    0.000   90.200   34.500    1.204   20.110
   26.600    7.700    0.000   90.000   28.300    1.159   20.348
   27.800    8.000    0.000   89.800   24.700    1.533   20.200
   28.100    7.400    0.000   78.000   20.200    1.862   20.730
   21.300   11.500    0.000   66.000   45.200    2.416   18.192
   17.300    5.800    0.000   80.800   29.700    1.765   21.271
   17.900    4.000    0.000   70.700   28.300    1.720   19.929
   17.100    0.000    0.000   91.700   17.000    1.855   17.727
   13.000    0.200    0.000   92.000    8.700    3.209   22.921
   17.600   -3.200    0.000   72.700   22.500    1.713   23.842
   16.500    1.600    0.000   86.000   39.000    1.212   14.204
   16.200    6.900    0.600   88.500   41.700    1.279    9.331
   12.100    8.800   12.000   96.000   78.000    1.563    4.647
   12.200    9.500    5.400   96.000   82.800    1.182    5.162
   15.500    5.800    0.000   96.000   46.300    1.414   18.645
   15.800    2.400    0.000   95.000   23.800    1.399   22.707
   12.000    3.000    0.000   93.000   48.700    2.461   18.052
   15.500    2.000    0.000   93.000   31.500    1.324   19.986
   16.700    1.800    0.000   90.800   38.000    1.272   23.655
   16.700    7.600    0.000   85.200   37.700    1.391   19.419
   19.300    5.700    0.000   91.000   31.000    1.144   21.443
   21.800    3.600    0.000   93.200   23.800    1.197   24.750
   21.100    5.500    0.000   90.500   33.000    1.713   21.586
   21.000    7.500    0.000   88.200   39.300    1.182   22.629
   22.800    7.000    0.000   92.000   36.200    1.346   23.276
   24.300    8.300    0.000   88.000   28.200    1.249   24.904
   26.100    8.200    0.000   86.200   29.300    1.399   23.800
   17.400   11.800    0.000   85.300   56.500    1.369    5.902
   16.300   10.400    0.800   89.800   64.500    1.174    9.441
   20.200   11.300    2.000   91.000   46.800    0.942   16.749
   16.300   13.300   18.000   94.000   83.000    1.511    6.287
   20.200   13.000    7.600   94.000   68.500    1.316   11.289
   19.300   11.300   32.800   95.000   76.000    1.818    8.122
   22.900   10.800    0.200   94.000   38.500    1.803   22.843
   21.300    9.500    0.000   93.000   36.800    1.645   24.245
   22.700    6.700    0.000   93.800   33.200    1.488   25.993
   21.700    9.000    0.000   88.700   49.200    1.286   21.404
   21.300    6.700    0.000   85.800   49.200    2.334   21.909
   25.600   10.700    0.000   90.000   20.200    1.847   25.739
   22.400   10.800    0.000   86.700   39.800    1.488   23.835
   25.100    8.800    0.000   90.000   38.300    1.197   23.749
   25.200   12.900    2.200   79.200   36.200    1.690   17.324
   17.100   13.500   15.000   90.700   62.300    2.147    5.516
   24.100   11.200    9.200   98.000   43.500    1.601   24.605
   23.900   12.000    0.200   98.000   42.200    1.556   23.662
   22.400    9.000   12.400   95.000   42.800    1.369   20.296
   20.400    9.600    0.000   95.500   50.200    1.099   18.016
   19.500   11.500    0.000   92.000   63.300    1.010    8.784
   25.100   11.800    1.600   93.000   22.500    1.975   28.602
   25.800    7.200    1.400   90.200   22.500    1.234   25.730
   25.000    9.400    0.000   94.000   22.700    1.354   27.324
   25.900    7.400    0.000   92.000   14.800    1.070   29.362
   24.400   11.100    0.400   81.700   29.200    1.511   22.952
   21.100   13.600    0.400   85.000   51.000    1.616   14.182
   26.200   13.500    0.000   90.700   27.000    1.533   24.551
   16.000   13.300   29.600   93.500   69.800    1.331    4.166
   24.300   10.300    0.000   94.800   23.200    1.735   29.112
   24.400    8.800    0.000   91.500   38.200    1.212   28.048
   27.000    9.800    0.000   92.800   33.800    1.234   28.000
   27.400   11.100    0.000   90.000   39.700    1.272   28.152
   28.300   12.700    0.000   85.300   33.200    1.720   23.717
   26.000   13.600    0.000   85.200   33.000    1.788   28.404
   25.600   14.300    0.000   83.200   35.700    1.758   22.557
   27.900   15.000    0.000   83.800   32.800    1.406   27.616
   27.000   13.100    0.000   83.800   32.800    1.436   21.776
   30.000   15.500    0.000   86.500   27.500    1.062   28.498
   31.500   13.400    0.000   87.500   27.500    1.077   27.480
   28.600   17.100    0.000   82.300   38.800    1.047   19.445
   30.100   16.200    9.600   91.000   38.500    1.638   25.465
   28.000   17.000    0.200   93.000   47.500    1.047   19.760
   28.800   17.300    0.000   91.000   47.000    0.860   21.167
   31.100   14.500    0.000   92.000   34.700    1.189   26.664
   30.800   15.400    0.000   88.800   38.000    1.324   27.064
   31.400   18.000    3.400   88.800   36.200    1.496   25.218
   32.700   15.600    0.000   91.300   36.200    1.257   27.976
   36.100   18.700    0.000   80.700   29.500    1.503   29.380
   31.900   18.800    0.000   86.800   41.700    1.728   28.519
   31.500   19.200    0.000   86.300   34.300    1.488   27.620
   31.300   17.300    0.000   87.800   40.300    1.249   21.422
   33.900   18.200    0.000   89.000   41.500    1.002   25.634
   34.300   20.700    0.000   88.000   34.200    1.122   26.780
   32.100   17.500    0.000   84.500   34.800    1.391   21.855
   32.800   18.500    0.000   88.200   40.300    0.935   17.686
   33.900   19.000    0.000   90.000   34.300    1.242   24.583
   33.400   18.800    1.000   85.500   33.700    1.242   27.589
   32.800   16.400    3.000   90.800   38.300    1.167   23.987
   31.900   15.100    0.000   89.500   33.500    0.927   27.667
   31.700   14.800    0.000   88.300   30.200    1.518   28.951
   32.400   16.000    0.000   87.000   34.300    0.905   28.496
   34.000   17.300    0.000   89.000   34.500    0.950   26.647
   34.300   18.800    0.000   86.300   34.000    1.339   26.907
   34.200   18.300    0.000   86.500   34.200    1.526   27.363
   31.000   16.200    0.000   89.800   33.300    1.466   26.860
   32.800   15.100    0.000   89.000   29.300    1.638   29.057
   32.600   16.800    0.000   86.700   31.200    1.092   28.462
   32.500   18.100    0.000   86.800   38.800    1.070   20.509
   26.500   16.900    5.000   91.000   62.800    1.025   10.503
   31.100   14.500    0.000   91.000   37.000    0.883   24.917
   32.700   15.900    0.000   87.700   39.700    1.197   26.636
   34.800   18.700    6.200   89.000   37.000    1.279   26.567
   32.200   17.300   27.600   90.200   47.800    1.645   17.314
   31.600   14.400    0.000   88.300   28.800    1.459   29.769
   32.700   14.300    0.000   89.500   31.700    1.010   27.931
   32.900   17.600    0.000   85.300   30.700    1.159   28.994
   32.400   17.500    0.000   87.700   43.200    1.152   24.793
   29.300   16.000    0.000   85.500   33.000    2.221   18.471
   25.300   14.300    1.200   89.000   46.300    1.227   23.802
   27.900   16.500    0.000   86.800   45.500    1.144   18.783
   29.900   16.100    6.200   87.500   43.000    1.339   22.696
   31.200   17.000    0.000   90.000   50.000    1.406   20.272
   33.000   17.300    0.000   90.000   41.800    0.898   22.571
   34.600   19.500    0.000   85.000   28.300    1.339   27.140
   35.000   19.500    0.000   84.200   35.800    1.219   26.925
   34.400   18.400    0.000   88.000   40.200    1.144   25.613
   33.400   19.800    0.000   87.000   42.500    1.421   25.414
   33.300   19.300    0.000   88.000   43.000    0.883   24.611
   32.800   21.800    0.000   85.000   47.000    1.369   21.937
   31.900   20.700    0.000   88.000   49.200    1.885   19.022
   29.700   18.700    1.200   87.500   56.300    1.616   16.146
   30.700   19.700    0.000   87.300   53.300    1.616   18.190
   31.000   18.600    0.000   89.000   52.500    1.137   18.231
   34.000   17.400    0.000   86.800   36.700    1.152   25.597
   32.500   18.900    0.000   88.700   46.300    1.159   21.457
   33.300   20.600    0.600   87.500   41.500    1.242   20.177
   29.600   16.400    5.200   89.300   50.800    1.369   17.454
   30.000   15.800    0.000   90.800   38.700    1.070   23.528
   29.900   15.800    0.000   87.800   41.300    1.144   21.596
