Id station: 100, location: West demo station
45.496782  120.0
01/01/2021 -> 31/12/2022
T_max   T_min   P_tot   U_max   U_min   V_med   RG_CORR
    2.500    1.200   13.000   99.000   95.200    0.658    0.922
    5.300    2.400   25.600   99.000   99.000    0.815    0.791
    8.900    4.000    6.600  100.000   79.300    0.703    5.232
    6.500    4.800    7.900   99.000   93.200    0.471    1.713
    6.900    2.900    2.900   99.000   83.000    0.576    1.466
    4.900    2.500    2.600   99.000   92.300    0.516    1.071
    6.300    1.800    0.100   99.000   65.700    0.606    2.814
    6.500   -2.100    0.000  100.000   57.500    0.486    7.346
    5.600   -1.800    0.000   99.000   50.300    0.568    4.238
    4.300   -3.200    0.000   94.300   52.700    0.606    2.798
    5.400   -4.400    0.100   98.000   51.700    0.561    8.176
    5.400   -4.300    0.000   99.000   51.300    0.755    6.137
   13.600   -1.600    0.000   86.500   36.300    0.830    7.775
   11.800   -1.800    0.000   88.700   45.700    1.316    7.398
    6.500   -1.200    0.000   89.800   50.500    0.793    2.649
    7.000   -2.600    0.000   95.300   50.500    0.636    7.777
    5.400   -2.100    0.000   98.200   64.200    0.688    4.915
    3.100   -3.300    0.000   99.300   80.800    0.539    7.375
    2.500   -3.800    0.600   99.500   97.300    0.494    2.263
    2.500    1.300    5.700   99.000   98.000    0.322    0.941
    3.800    2.400    7.200   99.000   99.000    0.224    0.177
    4.800    3.000   25.000   99.000   99.000    0.516    0.384
   11.700    2.800   10.300   99.000   59.300    1.197    5.123
   11.400   -0.300    0.200  100.000   12.500    0.718    7.905
    9.200   -1.400    0.000   85.800   34.000    0.972    7.956
   10.400    1.400    0.000   50.300   14.200    2.349    9.809
    9.100   -2.600    0.000   72.700   26.800    0.621    5.920
    8.600    0.900    0.000   88.200   58.200    0.763    6.411
    8.000    0.500    0.000   98.000   63.500    0.733    4.593
   12.100    2.500    3.000   96.200   51.000    0.927    5.423
   12.700    4.400    8.800   99.000   58.200    0.890    8.832
    9.000    2.900    0.000   99.000   63.800    0.830    4.220
    8.600    0.900    0.000   99.300   80.000    0.598    6.435
    6.500    4.800    6.800   99.000   99.000    0.441    0.764
   10.900    6.500    1.200   99.000   79.200    0.688    3.405
   10.400    7.300    2.600   99.000   92.700    0.516    1.916
   10.400    8.200    0.000   99.000   89.000    0.651    1.643
    8.900    7.100   33.700   99.000   98.300    0.935    0.889
   13.300    4.500    3.000   99.300   36.200    0.995   11.387
   11.600    7.000    2.600   98.700   67.200    0.576    4.399
    8.900    5.500   15.600   99.000   90.000    1.167    2.633
   13.300    1.900    0.200  100.000   56.700    1.167   11.648
    5.500   -1.000    0.000   87.200   45.500    1.870    2.322
    2.000   -2.800    0.000   84.700   36.000    1.339    8.238
    7.200   -4.900    0.000   82.800   36.200    0.845   12.523
    8.500   -4.300    0.000   93.500   33.800    0.681   11.588
   10.700   -1.400    0.000   86.200   54.000    0.965    7.526
   14.700    5.000    0.500   99.000   52.800    0.830   10.395
   11.000    6.700    0.700   94.700   57.000    0.830    4.530
   11.500    7.800    0.800   99.000   79.500    0.531    2.878
   12.700    8.500    0.000   96.500   73.500    0.568    4.346
   15.200    7.400    0.000   99.000   60.300    0.890    8.172
   14.000    6.400    0.000   96.800   68.800    0.733    9.834
   17.600    5.400    0.000   99.000   46.000    0.501   11.150
   21.200    4.900    0.000   98.300   33.500    0.501   12.958
   21.100    4.400    0.000   97.200   34.800    0.531   13.118
   20.700    5.100    0.000   95.500   35.300    0.576   13.160
   18.700    6.800    0.000   90.300   37.800    1.099   12.861
   13.700    5.300    0.000   77.000   39.300    1.272   14.786
   16.600    2.300    0.000   91.700   31.300    0.681   14.874
   16.600    1.900    0.000   89.700   30.700    0.621   15.009
   15.000    4.600    0.000   85.200   40.000    0.494    8.103
   14.900    3.400    0.000   93.500   51.800    0.853   10.620
   17.400    6.200    0.000   88.200   36.700    0.823   14.630
    9.900    4.700    0.700   88.300   55.300    1.690    5.433
   12.400    0.200    0.000   87.300   41.200    0.703   15.696
   13.000    1.500    0.000   91.300   48.000    0.830   14.340
   13.900    2.700    0.000   92.800   38.000    0.913   14.162
   14.900    2.800    0.000   90.700   34.500    0.800   15.675
   12.200    4.200    0.000   80.200   51.800    0.688    4.587
   17.900    5.600    0.000   94.000   41.800    0.808   15.462
   16.400    4.000    0.000   99.000   37.200    0.860   15.093
   15.100    4.800    0.000   90.800   13.000    2.633   17.478
