Id stazione: 100, località: weather one
49.5  235.0
01/01/2000 -> 31/12/2000
T_max   T_min   P_tot   U_max   U_min   V_med   RG_CORR
    8.320    1.650    0.000  100.000   43.730    0.865    3.434
    7.180    0.110    0.000  100.000   66.720    0.469    4.098
    7.910   -0.480    0.000  100.000   75.150    0.502    1.582
    8.560    1.070    0.000  100.000   73.340    0.682    3.385
    9.350    0.580    0.000  100.000   74.430    0.593    4.707
   11.670    1.660    0.000  100.000   40.110    1.016    5.718
    9.110    1.830    0.000   96.620   35.800    0.928    5.696
   11.210    2.110    0.000   85.660   17.290    1.765    6.917
   12.400    0.560    0.000  100.000   31.250    0.999    4.123
   12.700    2.880    0.000   90.000   19.610    1.557    5.865
   10.850    1.460    0.000  100.000   59.060    0.675    6.770
   12.720    1.510    0.000   94.000   22.000    1.291    5.396
    8.730    0.100    0.000   96.620   33.940    0.982    5.823
   12.780    2.180    0.000   97.340   25.680    1.011    6.940
    6.870    1.390    0.000   93.460   42.550    0.925    6.649
   10.150    1.410    0.000  100.000   53.920    0.785    5.893
    6.900    2.160    0.000   71.910   19.420    2.021    6.196
    5.730   -1.780    0.000   66.740   14.400    1.746    6.616
    5.750   -2.160    0.000   93.000   36.370    0.570    6.368
    5.800    2.360    1.980   97.870   66.910    0.868    1.170
    7.920    1.600    0.000  100.000   56.760    0.872    1.939
    7.570    0.820    6.330  100.000   60.460    0.936    5.954
    8.850    4.450    0.000  100.000   78.360    0.778    4.703
    9.260    2.560    0.000  100.000   67.330    0.696    3.118
   13.000   -0.100    0.000  100.000   46.320    0.693    7.015
   12.940    2.010    0.000  100.000   38.670    1.170    5.210
   14.110    4.680    0.000  100.000   47.360    1.218    5.271
    7.770    0.590    0.000   98.900   43.790    0.929    7.366
    4.760   -1.030    0.000   91.050   42.280    0.717    7.208
    4.940   -1.420    6.680   94.230   48.080    1.368    2.782
   11.010    4.420   13.810  100.000   66.580    3.270    2.316
   12.820    3.220    7.720  100.000   63.720    1.749    1.386
    9.410    3.470    1.340  100.000   66.600    0.658    6.734
    7.810    3.190   26.190  100.000   76.760    0.937    1.313
    7.240    1.480    0.000  100.000   81.300    0.589    2.020
    6.880   -0.860    0.000  100.000   57.160    0.588    9.046
    8.290    0.670    0.000   90.000   30.440    0.942    8.317
    6.050   -1.720    0.000   98.900   47.420    0.625    9.396
    6.880    2.990   12.750  100.000   82.150    1.037    0.661
   10.150    7.000    1.710  100.000   95.850    0.695    0.579
   16.800    5.600    0.000  100.000   72.870    0.661    2.940
   16.440    5.040    0.000  100.000   69.600    0.662    3.044
   16.300    4.920    0.000  100.000   67.410    0.588    3.855
   16.350    4.420    0.000  100.000   62.550    0.555    8.364
   15.810    2.380    0.000  100.000   55.350    0.544    9.040
   15.000    3.840    0.000  100.000   63.960    0.631    3.311
   14.140    2.810    0.000  100.000   64.420    0.620   10.450
   12.730    2.280    0.000  100.000   44.050    0.758    9.484
   10.080    1.360    0.000   98.900   36.460    0.714    9.669
    8.630   -0.410    0.000  100.000   51.190    0.595    9.943
    8.020    0.070    0.000  100.000   48.340    0.748    9.943
    9.420   -0.160    0.000  100.000   49.530    0.565   10.029
   10.440    0.570    0.000  100.000   45.310    0.844   13.152
    9.740    0.810    0.000   98.800   35.790    0.929   12.584
    8.710    1.630    0.000   85.050   26.750    0.815   12.568
    6.390   -0.490    0.000   93.320   44.260    0.664   11.332
    7.740    1.550    0.000   95.790   47.190    0.567   13.171
    6.740   -0.470    0.000   95.890   46.690    0.650   10.210
    7.970   -0.080    0.000   77.080   21.080    1.189   14.433
    6.870   -0.090    1.400   84.870   34.880    1.108    9.287
    5.770   -0.100    2.810   92.660   48.670    1.027    4.142
    9.930    4.650   12.430  100.000   81.110    0.800    1.495
   11.490    1.250    0.000  100.000   63.010    0.775    8.771
   13.710    1.610    2.270  100.000   52.970    0.649   13.681
    9.150    7.240   24.670  100.000   97.160    1.124    0.586
   10.190    5.510    6.390  100.000   78.340    2.424    2.868
   13.060    8.710    1.170   93.000   61.630    3.378    2.190
   12.520    7.690    1.220   78.230   33.800    2.819    3.602
   13.160    7.510    1.260  100.000   66.330    0.864    5.978
   13.720    4.810    0.000  100.000   65.080    0.773    6.532
   12.360    3.610    0.000  100.000   53.580    0.843   15.212
   11.590    4.690    0.000  100.000   61.360    1.043    6.218
   12.330    5.520    0.000  100.000   50.400    1.045   12.728
   12.400    2.780    0.000  100.000   50.820    0.769   16.847
   14.060    2.190    0.000  100.000   52.010    0.628   15.545
   14.920    7.080    1.680  100.000   62.480    0.844    5.963
   13.700   10.870    2.600  100.000   95.400    1.315    1.325
   20.490   12.250    4.610  100.000   68.550    1.536    3.204
   21.480   10.040    0.000  100.000   42.500    2.384   17.295
   18.950    8.750    2.640  100.000   55.350    1.433    6.538
   16.190    7.540    2.340  100.000   57.880    1.089    7.655
   14.180    4.410    0.000   90.220   27.930    0.875   18.841
   14.330    4.810    0.000   84.940   22.950    1.121   19.731
    8.980    5.100    8.170   95.340   61.070    1.526    4.086
   18.450    9.790   10.960  100.000   67.890    1.296    3.607
   17.300    8.070    3.550  100.000   62.450    1.021    8.121
   18.320    6.620    0.000   89.000   27.680    1.729   17.710
   17.570    6.720    0.000   88.000   28.180    1.497   20.136
   16.910    5.560    0.000   85.000   23.110    1.808   20.306
   20.730    4.130    0.000  100.000   34.110    0.893   17.468
   19.710    6.130    0.000  100.000   45.950    0.686   19.082
   19.460    6.300    0.000  100.000   58.080    0.466   14.900
   19.850   11.210    0.000  100.000   61.570    0.522   14.920
   20.830   10.450    0.000  100.000   59.540    0.562   16.151
   20.710   11.250    0.000  100.000   61.870    0.545   13.113
   21.050   11.940   14.990  100.000   54.160    0.537   13.019
   15.020   13.280   23.290  100.000   95.910    1.529    0.684
   19.030   10.150   13.120  100.000   67.930    1.120    6.523
   13.170    4.180    0.000   79.200   21.610    2.922   21.643
   19.690    3.090    0.000  100.000   30.530    1.091   20.377
   19.990    6.490    0.000   95.020   28.600    1.238   19.500
   23.610    6.850    0.000  100.000   34.230    1.016   20.196
   25.520    9.500    0.000  100.000   36.040    1.100   19.887
   23.160    9.240    0.000  100.000   48.980    0.594   18.274
   24.160   10.580    0.000  100.000   50.780    0.711   21.300
   23.150   13.290    3.960  100.000   53.740    0.844   16.153
   21.880   14.630    1.870  100.000   60.340    0.914   13.648
   23.030   13.530    0.000  100.000   59.070    0.625   13.214
   24.180   12.190    0.000  100.000   44.570    0.796   22.029
   23.810   15.690    0.000  100.000   59.390    0.928   16.176
   23.310   13.320    0.000  100.000   56.230    0.844   13.842
   23.540   12.710    0.000   95.590   36.640    1.516   13.874
   19.010   10.270    0.000   70.560   19.650    1.909   23.277
   19.840    5.200    0.000   84.430   18.510    1.186   24.217
   22.950    5.600    0.000  100.000   27.540    1.321   23.145
   21.610    8.500    0.000   91.000   28.880    1.019   22.586
   22.150    7.290    0.000  100.000   30.090    0.840   22.895
   21.970    9.000    0.000   97.310   32.760    0.861   21.159
   19.820   12.630    1.140   93.610   44.540    1.285   10.439
   16.010   13.640   12.500   95.000   70.970    1.613    3.513
   19.360   14.770    1.750  100.000   69.070    1.402    3.509
   22.830   15.330    0.000  100.000   55.920    0.983   18.000
   22.750   15.790    0.000   95.240   48.660    1.229   13.504
   17.410   14.320    1.740   92.000   61.440    0.977    3.797
   17.770   16.030    7.220  100.000   85.760    1.089    2.011
   24.510   17.600    0.000  100.000   64.480    0.700   12.699
   26.740   14.420    0.000  100.000   46.690    0.892   24.752
   27.230   15.550    1.300  100.000   51.450    0.628   18.483
   27.180   16.400    0.000  100.000   49.000    0.887   17.528
   24.090   15.790   18.340  100.000   63.070    1.172   11.131
   22.310   17.310   12.330  100.000   71.160    1.201    6.223
   27.860   15.750    2.410  100.000   57.080    0.758   15.484
   24.610   14.780    0.000  100.000   47.520    0.940   13.800
   25.150   14.250    0.000  100.000   44.700    0.818   21.925
   26.900   14.560    0.000  100.000   46.490    1.228   16.423
   27.610   13.620    1.230  100.000   48.230    0.853   18.901
   27.000   15.160    1.970  100.000   43.820    0.783   21.903
   29.320   15.750    0.000  100.000   38.530    0.884   22.079
   29.400   15.630    0.000  100.000   40.140    0.675   26.447
   29.090   16.420    0.000  100.000   42.710    0.586   25.992
   29.410   18.520    0.000  100.000   47.520    0.730   19.802
   28.580   19.190    0.000  100.000   50.150    0.931   13.812
   29.570   18.630    0.000  100.000   47.230    0.929   21.891
   29.120   18.220    3.860  100.000   53.660    0.937   15.250
   21.590   16.990    9.950  100.000   69.170    1.391    4.036
   27.010   17.440    4.810   97.920   46.210    1.273   13.632
   28.890   16.330    0.000  100.000   45.450    1.063   17.665
   27.370   15.880    0.000  100.000   46.860    0.847   25.225
   27.410   15.800    0.000  100.000   43.200    0.794   23.008
   28.400   17.450    0.000  100.000   45.710    0.743   19.577
   28.180   18.350    0.000   97.000   46.930    0.812   16.556
   28.400   18.470    0.000  100.000   47.970    1.037   19.570
   29.270   18.090    0.000   97.660   43.750    0.852   17.951
   29.760   16.270    0.000  100.000   38.880    0.713   22.509
   30.230   17.670    0.000   98.020   40.050    0.720   24.537
   30.080   18.420    6.340   99.200   43.480    1.014   18.297
   25.910   18.430    4.760  100.000   61.050    1.421    6.000
   26.630   17.420    0.000  100.000   50.400    0.989   19.800
   27.710   18.260    5.500   95.370   48.190    0.618   13.661
   29.790   16.540    4.740  100.000   47.350    0.796   14.486
   28.430   17.870    0.000  100.000   52.740    0.786   11.520
   29.830   17.710    7.300  100.000   48.280    0.855   15.261
   30.180   18.220    0.000  100.000   47.210    0.692   21.898
   29.350   20.510   19.510   96.990   54.110    0.758   15.614
   29.500   19.860   10.760  100.000   56.750    0.709   17.504
   29.750   18.040    0.000   87.020   35.650    1.265   25.237
   28.850   17.010    0.000  100.000   44.340    0.673   26.749
   29.140   17.620    0.000   98.110   44.330    0.749   26.731
   29.930   19.870    0.000   93.000   45.480    0.775   17.403
   30.260   18.880    0.000   93.000   41.480    0.816   20.222
   27.030   19.190    0.000   91.000   48.100    0.631    7.186
   30.210   18.740    0.000  100.000   46.350    0.850   22.407
   28.920   19.370   28.750  100.000   61.620    0.732   13.091
   29.050   18.630    0.000  100.000   55.260    0.778   19.946
   29.210   18.480    0.000   91.000   40.690    0.930   28.780
   30.090   17.220    0.000  100.000   44.010    0.841   22.944
   30.920   19.360    0.000   94.330   43.380    0.844   22.569
   28.240   20.110   18.040   98.000   61.400    0.997    2.774
   22.010   19.300   83.130  100.000   84.930    1.271    2.115
   27.750   18.610    1.050  100.000   68.430    0.734   13.213
   27.130   17.420    4.530  100.000   63.540    0.950   10.815
   25.230   19.760    6.080  100.000   75.290    0.655    6.408
   29.430   18.150    0.000  100.000   55.010    0.658   19.585
   29.980   18.720    0.000   96.910   46.110    1.014   19.514
   28.470   17.580    0.000  100.000   48.990    0.510   20.802
   26.980   18.770    2.750  100.000   61.410    0.608   13.574
   28.160   18.710    0.000   98.200   51.100    0.872   13.906
   28.810   18.130    0.000   93.610   44.320    0.942   22.682
   28.320   17.930    0.000  100.000   49.470    0.592   20.029
   29.000   17.680    2.090  100.000   49.990    0.621   20.665
   27.950   17.910    2.350  100.000   60.370    0.746   12.337
   28.310   18.130    0.000   92.000   44.010    1.204   23.286
   27.910   16.410    0.000   96.980   45.930    0.742   22.256
   27.610   17.930    0.000   99.060   51.500    0.990   12.192
   25.380   19.080   54.710  100.000   72.270    1.133    6.592
   27.060   16.990    0.000   91.640   43.370    1.252   23.520
   28.030   15.430    0.000  100.000   49.080    0.640   22.375
   28.230   15.470    8.320  100.000   49.140    0.657   19.000
   27.740   18.320    0.000  100.000   59.430    0.790   20.217
   30.320   17.950    2.120  100.000   53.150    0.648   17.660
   28.840   18.690    1.930  100.000   60.200    0.579   19.017
   28.650   17.780    0.000   93.450   43.860    0.999   22.716
   28.590   15.580    0.000  100.000   47.120    0.605   22.105
   28.900   17.980    3.930  100.000   56.640    0.728   19.506
   31.280   17.240    0.000  100.000   49.500    0.446   19.930
   32.450   18.990    0.000  100.000   48.210    0.547   19.483
   29.320   19.620    0.000   94.000   48.080    1.134   19.067
   27.220   17.840    0.000   79.240   36.610    1.615   22.076
   27.030   17.590    0.000   75.400   34.090    1.693   23.211
   27.790   13.880    0.000   91.000   35.500    0.707   23.249
   27.880   16.670    0.000   94.000   43.230    0.627   15.704
   30.750   17.740    1.950   96.070   42.470    0.710   22.826
   19.780   18.210   47.390   95.050   72.610    1.148    4.433
   26.920   17.720    0.000   90.580   43.130    1.438   21.794
   27.960   16.790    0.000   94.000   43.650    1.182   21.252
   27.750   15.050    0.000  100.000   47.510    0.637   20.567
   31.020   17.070    0.000  100.000   50.180    0.697   18.544
   29.590   17.560    0.000  100.000   48.290    0.652   18.643
   29.760   18.620   11.030   96.900   46.990    0.682   18.108
   28.030   18.620    1.400  100.000   64.000    0.562   17.579
   27.540   17.920    0.000  100.000   54.310    0.758   16.301
   26.390   14.780    0.000   92.000   39.860    1.004   20.346
   27.260   15.120    0.000   90.020   37.150    1.216   20.717
   29.180   14.080    0.000   94.000   38.170    0.807   24.940
   27.800   18.590    0.000   73.840   32.890    1.012   20.746
   29.410   15.850    0.000   93.000   37.120    0.673   18.328
   30.680   17.350    0.000   96.900   42.290    0.700   18.664
   31.500   19.730    1.400  100.000   48.240    0.833   16.323
   31.540   19.690    0.000   97.000   45.270    0.834   16.535
   30.440   20.450    1.990   94.000   45.980    0.764   15.646
   30.790   19.530    0.000  100.000   50.290    0.548   16.343
   27.770   19.380    1.930   95.140   51.030    0.876   10.316
   26.230   17.570    0.000   71.920   31.590    2.377   19.947
   30.780   13.390    0.000   92.640   27.350    0.844   21.756
   27.990   18.190    0.000   77.770   31.840    1.687   21.613
   25.550   16.230    0.000   73.600   30.510    1.159   19.165
   26.180   13.790    0.000   90.980   35.500    0.886   18.136
   27.740   15.620    0.000   86.560   32.560    0.927   17.236
   29.030   16.120    0.000   88.110   32.380    0.929   17.671
   27.270   14.640    0.000   71.700   20.170    0.747   23.185
   27.130   18.630    0.000   90.630   41.680    0.954   16.332
   26.550   18.190    0.000   91.710   42.550    0.903    8.704
   28.230   18.840    2.350   98.390   51.560    0.578   13.840
   28.920   17.970    0.000  100.000   51.280    0.556   16.613
   31.520   18.180    0.000   96.210   41.120    0.680   17.420
   34.970   19.380    0.000   96.040   37.760    0.588   15.330
   31.110   21.330    0.000   92.640   42.190    0.761   14.452
   32.600   19.270    0.000   93.000   36.540    0.588   14.961
   31.750   18.330    0.000   96.000   40.340    0.673    8.694
   31.530   19.790    0.000   86.470   32.740    0.698   14.511
   29.670   19.960    0.000   78.060   30.910    0.883   16.052
   29.460   19.410    0.000   85.130   33.900    0.702   14.923
   30.630   18.090    0.000   91.000   33.880    0.571   13.848
   29.900   18.240    0.000   91.000   35.360    0.554   13.755
   29.900   18.220    0.000   95.000   42.060    0.546   13.127
   30.650   18.730    2.590   97.000   43.780    0.889   11.767
   29.440   19.090    6.600  100.000   51.030    0.825   12.040
   27.760   18.800    2.550   97.000   51.240    0.697   12.989
   25.530   17.880    0.000   92.590   44.450    0.987   11.292
   26.600   16.460    0.000   85.660   33.480    1.051   12.814
   25.570   12.710    0.000   91.000   32.920    1.116   14.359
   25.080   11.770    0.000   93.630   35.790    0.631   14.055
   26.340   12.790    0.000   95.800   38.430    0.588   13.821
