Id stazione: 200, località: weather two
49.3  221.0
01/01/2000 -> 31/12/2000
T_max   T_min   P_tot   U_max   U_min   V_med   RG_CORR
    6.260   -0.960    0.000  100.000   82.120    0.213    2.384
    6.830   -0.250    0.000  100.000   77.400    0.299    2.705
    5.290   -2.610    0.000  100.000   70.500    0.271    4.428
    6.990   -2.450    0.000  100.000   45.960    0.591    4.739
    4.110   -3.930    0.000  100.000   63.740    0.261    4.914
    3.160   -4.930    0.000  100.000   72.030    0.100    5.342
    3.670   -5.290    0.000  100.000   59.510    0.248    6.413
    4.830   -4.560    0.000  100.000   50.660    0.252    5.477
    4.260   -1.070    0.000  100.000   85.680    0.396    6.161
    4.700   -2.720    0.000   98.000   48.960    0.520    6.597
   10.870   -2.530    0.000  100.000   39.450    0.543    6.043
    8.680   -1.840    0.000  100.000   39.340    0.511    6.819
    5.940   -1.910    0.000   98.480   46.550    0.429    6.423
    5.840   -1.300    0.000  100.000   56.620    0.329    7.177
    9.960    0.060    0.000  100.000   65.880    0.371    5.742
    7.920   -1.110    0.000  100.000   74.570    0.289    1.351
   11.670    1.310    5.410  100.000   52.060    0.593    5.748
    9.430   -0.120    0.000  100.000   50.240    0.387    6.689
    7.980   -0.700    0.000  100.000   57.960    0.339    6.297
    8.830    1.220    0.000  100.000   67.650    0.235    1.558
   13.440    0.250    0.000  100.000   61.050    0.399    7.424
   12.600    2.170    0.000  100.000   61.740    0.303    2.433
   16.120    2.990    0.000  100.000   61.960    0.359    1.490
   23.350    5.080    0.000  100.000   42.580    0.597    7.521
   20.790    3.090    0.000  100.000   29.090    0.947    7.413
   10.520   -0.210    0.000  100.000   39.320    0.529    7.520
   10.220   -1.580    0.000  100.000   46.460    0.288    8.025
   15.490   -0.520    0.000  100.000   50.710    0.328    7.296
   11.350    0.610    0.000  100.000   60.940    0.389    7.139
   13.010   -1.410    0.000  100.000   54.660    0.279    7.346
   17.120    2.400    0.000  100.000   53.150    0.217    7.390
   15.970    1.460    0.000  100.000   57.470    0.375    7.009
   14.720    3.130    0.000  100.000   54.750    0.466    7.901
   14.490    3.160    0.000   97.300   35.540    0.793    8.690
    9.840    0.200    0.000  100.000   41.910    0.565    8.258
   11.330    1.000    0.000   97.970   36.530    0.692    4.043
   13.980    4.650    0.000   76.280   24.350    1.965    8.018
   10.160    1.400    0.000   97.300   36.100    0.671    9.785
    8.620   -1.520    0.000  100.000   47.650    0.451    9.063
    8.390   -2.630    0.000  100.000   49.190    0.350    9.371
   13.240   -0.070    0.000  100.000   40.730    0.715    8.244
   15.940   -0.230    0.000  100.000   35.140    0.648    8.880
   12.550   -0.450    0.000  100.000   46.660    0.466   11.014
   12.720    6.610    3.190  100.000   78.490    0.567    2.557
   19.220    2.960    1.380  100.000   45.770    0.700    6.991
   18.660   -0.050    0.000  100.000   33.400    0.750   11.732
   20.440    2.310    0.000  100.000   43.410    0.367    8.588
   18.790    1.550    0.000  100.000   47.800    0.361   10.204
   19.800    3.810    0.000  100.000   49.510    0.668   11.312
   19.470    5.680    0.000  100.000   58.340    0.431    3.907
   22.060    5.150    0.000  100.000   50.550    0.391   12.684
   18.800    3.780    0.000  100.000   52.130    0.295    9.805
   18.160    4.090    0.000  100.000   58.810    0.311    6.548
   18.160    3.020    0.000  100.000   54.060    0.329   10.453
   18.100    2.190    0.000  100.000   50.010    0.285   11.469
   18.000    3.350    0.000  100.000   47.060    0.364   12.187
   17.580    1.920    0.000  100.000   54.010    0.240    9.149
   17.340    3.620    0.000  100.000   57.810    0.188    8.782
   17.200    3.460    0.000  100.000   51.890    0.447    8.793
   14.360    5.630    4.990  100.000   74.960    0.573    2.357
   15.110    1.110    0.000   88.020   22.470    1.405   14.526
   14.510   -0.220    0.000  100.000   36.410    0.369   16.020
   15.760    0.110    0.000  100.000   47.300    0.255   15.166
   17.360    1.440    0.000  100.000   50.370    0.354   15.099
   17.930    0.650    0.000  100.000   49.830    0.268   14.909
   20.280    2.930    0.000  100.000   32.870    0.767    6.677
   15.420    2.780    0.000   75.100   18.440    1.593   15.977
